package,old,new,delta
abind,NA,1.4-8,*
arm,NA,1.14-4,*
backports,NA,1.5.0,*
base64enc,NA,0.1-3,*
bit,NA,4.6.0,*
bit64,NA,4.6.0-1,*
broom,NA,1.0.10,*
bslib,NA,0.9.0,*
ca,NA,0.71.1,*
cachem,NA,1.1.0,*
car,NA,3.1-3,*
carData,NA,3.0-5,*
cli,NA,3.6.5,*
clipr,NA,0.8.0,*
coda,NA,0.19-4.1,*
cowplot,NA,1.2.0,*
cpp11,NA,0.5.2,*
crayon,NA,1.5.3,*
crosstalk,NA,1.2.2,*
DBI,NA,1.2.3,*
Deriv,NA,4.2.0,*
digest,NA,0.6.37,*
doBy,NA,4.7.0,*
doParallel,NA,1.0.17,*
dplyr,NA,1.1.4,*
DT,NA,0.34.0,*
ellipse,NA,0.5.0,*
emmeans,NA,1.11.2-8,*
estimability,NA,1.5.1,*
evaluate,NA,1.0.5,*
FactoMineR,NA,2.12,*
farver,NA,2.1.2,*
fastmap,NA,1.2.0,*
flashClust,NA,1.01-2,*
fontawesome,NA,0.5.3,*
forcats,NA,1.0.1,*
foreach,NA,1.5.2,*
Formula,NA,1.2-5,*
fs,NA,1.6.6,*
generics,NA,0.1.4,*
ggplot2,NA,4.0.0,*
ggrepel,NA,0.9.6,*
glmnet,NA,4.1-10,*
glue,NA,1.8.0,*
gtable,NA,0.3.6,*
haven,NA,2.5.5,*
highr,NA,0.11,*
hms,NA,1.1.3,*
htmltools,NA,0.5.8.1,*
htmlwidgets,NA,1.6.4,*
isoband,NA,0.2.7,*
iterators,NA,1.0.14,*
jomo,NA,2.7-6,*
jquerylib,NA,0.1.4,*
jsonlite,NA,2.0.0,*
knitr,NA,1.50,*
labeling,NA,0.4.3,*
later,NA,1.4.4,*
lazyeval,NA,0.2.2,*
leaps,NA,3.2,*
lifecycle,NA,1.0.4,*
lme4,NA,1.1-37,*
magrittr,NA,2.0.4,*
MatrixModels,NA,0.5-4,*
memoise,NA,2.0.1,*
mi,NA,1.2,*
mice,NA,3.18.0,*
microbenchmark,NA,1.5.0,*
mime,NA,0.13,*
minqa,NA,1.2.8,*
missMDA,NA,1.20,*
mitml,NA,0.4-5,*
mitools,NA,2.4,*
modelr,NA,0.1.11,*
multcompView,NA,0.1-10,*
mvtnorm,NA,1.3-3,*
nloptr,NA,2.2.1,*
numDeriv,NA,2016.8-1.1,*
ordinal,NA,2023.12-4.1,*
pan,NA,1.9,*
pbkrtest,NA,0.5.5,*
pillar,NA,1.11.1,*
pkgconfig,NA,2.0.3,*
prettyunits,NA,1.2.0,*
progress,NA,1.2.3,*
promises,NA,1.3.3,*
purrr,NA,1.1.0,*
quantreg,NA,6.1,*
R6,NA,2.6.1,*
rappdirs,NA,0.3.3,*
rbibutils,NA,2.3,*
RColorBrewer,NA,1.1-3,*
Rcpp,NA,1.1.0,*
RcppEigen,NA,0.3.4.0.2,*
Rdpack,NA,2.6.4,*
readr,NA,2.1.5,*
reformulas,NA,0.4.1,*
rlang,NA,1.1.6,*
rmarkdown,NA,2.30,*
S7,NA,0.2.0,*
sass,NA,0.4.10,*
scales,NA,1.4.0,*
scatterplot3d,NA,0.3-44,*
shape,NA,1.4.6.1,*
SparseM,NA,1.84-2,*
stringi,NA,1.8.7,*
stringr,NA,1.5.2,*
tibble,NA,3.3.0,*
tidyr,NA,1.3.1,*
tidyselect,NA,1.2.1,*
tinytex,NA,0.57,*
tzdb,NA,0.5.0,*
ucminf,NA,1.2.2,*
utf8,NA,1.2.6,*
vctrs,NA,0.6.5,*
viridisLite,NA,0.4.2,*
vroom,NA,1.6.6,*
withr,NA,3.0.2,*
xfun,NA,0.53,*
yaml,NA,2.3.10,*
